link,name,time,空间评分,空间,驾驶感受评分,驾驶感受,续航评分,续航,外观评分,外观,内饰评分,内饰,性价比评分,性价比,智能化评分,智能化,其他评分,其他
https://k.autohome.com.cn/detail/view_01hmk1h0rv6ms3gc9j68tg0000.html#pvareaid=2112108,青春不如r  ,,,,,,,,,,,,,,,,,
https://k.autohome.com.cn/detail/view_01hpp3rb1a6ms3jd9j6rsg0000.html#pvareaid=2112108,小狮子3449,2024-02-15,5,2999的轴距空间，非常大，后排坐三个人都空间很大，完全不用担心空间,5,,5,,5,,5,,5,,5,,,
https://k.autohome.com.cn/detail/view_01hp4bechw6ms3jd1h60rg0000.html#pvareaid=2112108,宁波车友5246670,2024-02-08,4,用的吉利浩瀚架构，内部空间比之前接触的极星2倒是宽敞了不少；但说老实话2999轴距，后排翘不起二郎腿；好在第二排椅背有电动调节，坐坐还舒服的。,4,驾驶感受保留了欧洲车的味道，不是电车那种一味直线傻快，过弯丝滑，过减速带悬架很有韧性，另外22寸轮子跑100码胎噪还可接受，刹车脚感略微偏硬了些；激烈驾驶话，座椅包裹性马马虎虎。,3,双电机感觉能耗不低，表显基本在26-30度这样，满电跑了5.5折左右，后续再观察观察。,4,极星4汽车,4,运用了很多环保材料，新车无异味；内饰设计风格简洁大气，氛围灯营造效果不错。,4,高性能suv纯电车，颜值在线，有着扎实的底盘调教，内饰风格简洁，配置丰富，值得推荐！,3,经常只能触发自适应巡航，即使触发了PA领航辅助话，感觉白名单可识别物很少，好多次还要人为及时介入；内置行车记录仪像素超级低，360全景影像曝光太多；,,
https://k.autohome.com.cn/detail/view_01hp458rva6ms3jd1g6wt00000.html#pvareaid=2112108,十二月的奇迹g,2024-02-08,5,本姑娘身高170左右，坐车里依然觉得空间很宽松，非常宽敞。,5,主要还是极星4的底盘悬架调校好，还有什么减震器，反正不管是过弯还是爬坡都很稳，动力输出也很强。,5,续航能力还是好的，在这个级别里，算是比较常见的里程数。优点是冬天用车，感觉掉电也没有很厉害，续航很抗打哦。,5,好看的车，谁都喜欢啊，看着都觉得赏心悦目。,4,设计是很简洁，但配色什么的，确实看着不那么高档。,4,价格是有调整了，优惠折合下来这个价格，依然不算便宜。,5,大多数配置都有了，需要啥就用啥，巡航、导航之类的，反正够用，实用！,,
https://k.autohome.com.cn/detail/view_01hnyp8ved6ms3jcsh70v00000.html#pvareaid=2112108,杭州车友3411405,2024-02-06,4,极星4汽车,5,极星4汽车,5,续航：听销售说用的碳化硅逆变器 冬天5度两个人空调23度 然后全程120码的情况下 续航能到500km以上 如果真的话续航那还是挺扎实的,5,极星4汽车,4,极星4汽车,5,有现车的情况下 有个综合6W的现金优惠 好像还限时的 那单电机plus版本能29落地了 和极氪001价格差距也没那么大了,3,极星4汽车,,
https://k.autohome.com.cn/detail/view_01hn3095js6ms3gdhr74wg0000.html#pvareaid=2112108,万花痛l,2024-01-26,5,我一家五口人全部坐在车里还有不少空间剩余呢，2999mm的轴距还是很给力的，车内显得特别敞亮。前后排都不拥挤，尾箱也是非常的平整，很能装。,5,我以前也开了好多年的车，动力这么强的极星4，我还是第一次接触，百公里加速只要4秒左右就行了，有很强的爆发力，开起来确实很有趣。方向盘也顺手，真皮的摸着细腻，一点都不虚，开着很是轻松。,4,总的续航里程数相当可以的，只要没有太激烈驾驶的话，掉电不快，跑高速个人感觉掉电能快点，但是不耽误出行。,4,前脸的极简风格还是非常有个性的，整体车身造型极尽简约，低趴的风格确实很耐看，不过我感觉底盘有点低，怕跑路上碰到底盘。,5,浅色搭配我实在是太爱了，给人一种年轻有活力的感觉，氛围感特别好，座椅贴合也好，整个人被包裹着很有安全感，这车主打的就是一个享受。,4,价格比我的预算要稍高一点，个人觉得有点偏贵，但性能表现我觉得值了。,5,15.4英寸的中控大屏真不错啊，科技感直接就拉满了，既实用又有不错的娱乐性，开着这车出门，一点也不会感觉无聊。,,
https://k.autohome.com.cn/detail/view_01hn1q8xdv6ms3gdhj6wr00000.html#pvareaid=2112108,巴黎的风吹到o,2024-01-26,5,首先车内的视觉很通透敞亮，前排的视角障碍感，看的角度广。车门开启的角度够大，上下车也不会碰到腿，别看这车是低趴式的造型，但是头顶一点不会感觉压抑，车内的整体性很不错。,5,毕竟是L2级别辅助驾驶，驾驶操控相当智能，更关键的是，方向盘手感好，轻盈灵活精准性高，配合CDC电磁悬架，趣味性拉满，驾控很稳定。,5,平时正常驾驶，续航和电耗都比较稳定，估计等到磨合好了，电耗还有下降空间。只要没有坏的那种开车习惯，我感觉这车续航还是挺耐用的。,4,极星4在外观上进行了大胆的尝试，取消了后车窗设计，我媳妇觉得挺潮流的，但是我个人感觉一般吧。但是整体的造型不得不说，还是挺吸睛的。,4,家里小孩平时坐车总是不老实，喜欢在车里调皮，极星4是浅色内饰，年轻有活力，耐脏度差点，平时自己要多注意。好在比较好清理，用湿纸巾擦一下就行。,4,落地都40多个W了，有一点点超乎预算，但车子配置没得说，价格稍高也应该的，毕竟人家定位就是中高端车型。,5,搭载骁龙8155芯片确实够智能，车机反应速度特别快，真心好用。,,
https://k.autohome.com.cn/detail/view_01hmwvndt66ms3gd1n6mtg0000.html#pvareaid=2112108,狠乖懂我c,2024-01-24,5,刚提不久的新车，家人朋友都想来体验，每次出去玩都是满载，幸亏空间够大，就算车里面坐五个人，照样是那么宽敞。,5,动力比预期更强，百公里加速不到4秒，真夸张啊，还有L2级辅助驾驶，真的很爽，开着跑过一次高速，超车又快又稳，而且噪音不大。,4,更推荐自己在家充电吧，在外面用商业电还是有点贵的，我们这边外边一度电1.5-1.8元，不划算。说到车子耗电，现在我感觉还好，主要我们这边冬天也不算冷，对纯电车还是很友好的。,5,前脸封闭式设计更显稳重，搭配上北极星车标和两侧分体式大灯，给人一种深邃感，颜值真不赖。,4,浅色内饰更显年轻活力，不过颜色上没有更多的选择，就是一些灰色、黑色这种，如果颜色能多点丰富点选择就好了。,5,个人认为这款极星4绝对是物有所值了，我是第一眼就看中它了，高颜值，舒适驾驶，配置性能强等等，就算有一些毛病都微不足道了。,5,特别喜欢极星4的中控大屏，这个尺寸看着才带劲嘛，科技感拉满了，L2的辅助驾驶控制也高级，开车不累。,,
https://k.autohome.com.cn/detail/view_01hmwajp2a6ms3gd1k6cvg0000.html#pvareaid=2112108,一抹夏伤g,2024-01-24,5,自己坐在车里体验一遍就知道了，比想象中更宽敞一些，横向纵向都很宽松，而且后排放倒之后，后备箱特别能装，拉大物件一点没问题。,5,这辆极星4不仅仅是直线快，弯道性能同样出色，有50：50轴荷比设计，有效地防止车子侧倾，过弯就是简单，一上手就感觉出来这车不一般了。,4,最近这几天一直都在外面跑，跑了都有四五百公里了，电耗不是特别高，但是试了下充电，个人感觉充电速度不是很快。,4,造型设计确实很有特点，辨识度很高，整个车身就像是艺术品一样，但是车漆感觉不是很厚实，而且我感觉这个21寸的轮毂尺寸也有点小，侧面看比例差一点意思。,4,视觉效果高级，材质用料环保上档次，做工细腻，只是我个人感觉座椅有点太软了，欠缺一点支撑，但是贴合度跟透气性都挺好的。,5,极星4兼顾了智能和娱乐性，既有驾驶趣味，很多配置功能都蛮实用的，性价比还不错吧，反正我个人是挺满意这车的表现的。,5,15.4英寸的中控大屏，支持的APP功能也特别全面，可操作性特别强。车机系统功能多还流畅，而且第二排座椅竟然还带加热，冬天车内坐着更舒服。,,
https://k.autohome.com.cn/detail/view_01hmkcqvqg6ms3gc9k6rsg0000.html#pvareaid=2112108,似眠z,2024-01-20,5,最不用担心的就是空间，从车身尺寸看，妥妥的中大型跨界SUV，从外面就感觉车身长，一进入车内更是明白中大型的意思了，五个成年人很轻松。,5,平时开车主打一个轻松自在，动力强劲平顺，方向盘转向灵活，结合高强抗扭车身设计，既稳定又安全。,5,还以为到了冬季，续航会不太行吧，实际续航表现比想象中厉害，表显很精准，家用出行完全可以，甚至可以来个小长途自驾游，哪怕开着空调都没事儿，感觉掉电不快。,4,颜值这个东西主要看自己的喜好，极星4取消后窗的设计十分大胆，看着确实挺新颖的，不过平时开车看还是不太习惯，得慢慢适应。,4,氛围感主打一个轻奢感，但是个人觉得座椅有一点偏硬，媳妇倒是说还行，主要还是看自己的感受吧。,5,这车子各方面性能都挺好，价格也没有特别高吧，还是在预算之内的，况且功能也多也好用，电耗不高，我是感觉挺划算的。,5,这音响听歌实在太舒服的，环绕音质就是不一样，对于听歌发烧友来说，算是一个福音。另外车子很多功能都能语音直接控制，还可以人脸识别，很厉害。,,
