id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4873051306459490 ,MuEoGr6ps,6363113639,撩妹翻车现场,我都数不清楚下几个坡了#在重庆上班的路有多难走##笑声回收计划#L撩妹翻车现场的微博视频,,,,"在重庆上班的路有多难走,笑声回收计划",6421,1735,0,2023/2/25 15:17,微博bb机,,,
4873537766818880 ,MuEoGr6ps,1455016703,丑怪,回复@电子贝极星:去年在重庆跟着导航开，差点卡墙缝里去//@电子贝极星:这里如果不认路，是不是导航也不好用,,,电子贝极星,,0,0,9389,2023/2/25 15:17,微博bb机,,,4.87305E+15
4873148123843840 ,MuBN6sC2w,7798420051,间或影视交流,我就没看到极星有车上路啊,,,,,0,0,0,2023/2/25 8:39,,,,
4873147411602300 ,MuBN6sC2w,7798638671,路人甲乙丙丁202210,极星品牌是吉利系的？,,,,,0,0,0,2023/2/25 8:39,,,,
4873132983456870 ,MuGwqevi0,2821307702,__simomizuki,手指放进红圈的话就会收获一个可爱女朋友#贝拉#L__simomizuki的微博视频,,,,贝拉,6,5,0,2023/2/25 20:41,乃贝的被窝,,,
4873143807645970 ,MuGwqevi0,3490884732,_LLUKE_,放上去只会暂停画面…对不起我是贝极星（,,,,,0,0,64,2023/2/25 20:41,乃贝的被窝,,,4.87313E+15
4869782984460260 ,MthnciIjI,2135129011,孙少军09,吉利品牌中高端新能源系列正式官宣命名“吉利银河”蹭个热度吧，不聊名字，只说点模式本身的问题。12月就知道很多细节，所以只从销售渠道角度简单说说，真正值得关心的2个变化：第一，吉利银河是全新销售渠道，也就意味着跟长安、比亚迪一样完全新能源销售，不再是混着卖。同时吉利银河会搭建从包含销售附中的品牌中心，再到从吉利原体系精选的体验中心再到以商超店为主的展示中心的整套销售架构。要注意的这个架构去年就确认了，只能说吉利规划的很清楚，银河推进速度或许会比想象中的快。第二，销售代理模式变成车fans常说的代理服务商模式，也是新的行业趋势，即自营和强管控的代理服务商并存。本质上就是回归市场，按需供应，同时降低直营成本压力，对于各方来说都是好事：对吉利银河来说，对一线渠道管控加强，同时减轻了渠道运营压力，铺设网点速度也会更快。对门店来说，摆脱了传统4S店模式高库存的资金链风险，销售流程简化，专心做好服务就可以了。对客户来说，销售流程将会跟新势力一样，销售顾问回归到产品本身介绍，而不是烦人的议价推销。所以如果只讨论吉利银河这个名字，或许只会觉得深蓝、银河和仰望有梗，但如果看核心，这就是吉利品牌这5年来我认为决定性的品牌改革。尤其从去年开始长安吉利不断割肉流血的改革尝试，到今天终于寻找到转型的最佳模式，再回头看看一群躺平等死的曾经的行业龙头。很多时候转型就意味着割肉流血，但是如果连割肉流血的勇气都没有，往往离死不远了。#吉利银河来了##银河每个人仰望的星空##中高端新能源你更看好,,,,"吉利银河来了,银河每个人仰望的星空,中高端新能源你更看好谁",53,167,0,2023/2/16 14:50,微博  weibo.com,"['https://wx2.sinaimg.cn/large/a66d0169ly8hb5b2y2g5zj20u01szkjl.jpg', 'https://wx4.sinaimg.cn/large/a66d0169ly8hb5b2zbmepj20u01sze83.jpg', 'https://wx1.sinaimg.cn/large/a66d0169ly8hb5b3120r6j23h07iqnpe.jpg']",,
4869903385626100 ,MthnciIjI,1742292814,Monster_Orange,//@一纤芥耳:吉利标准版:吉利，吉利max:银河，吉利运营商定制版:几何，吉利海外版:宝腾，吉利海外运营商定制版:英伦，吉利pro:领克，吉利proedition:极氪，吉利promax:沃尔沃，吉利promaxedition:极星，吉利ultra：路特斯,,,一纤芥耳,,0,0,633,2023/2/16 14:50,微博  weibo.com,,,4.86978E+15
4994867715902370 ,NDNWroLtw,1822894882,极速拍档-小乔,听说极氪x二手价到12w了（补充是二手车商收车价而且是我听说的）,,,,,18,182,0,2024/1/27 18:52,OPPO Find X7 Ultra,,,
4995298808304850 ,NDNWroLtw,2009050953,monkcwei,今天在车麟时代听到了，可以换极星2的避震,,,,,0,0,563,2024/1/27 18:52,OPPO Find X7 Ultra,,,4.99487E+15
